ITEM;QTD;VL UNIT;VL TOT
1;1;R$ 2.500,00;R$ 2.500,00
2;1;R$ 1.250,00;R$ 1.250,00
3;30;R$ 37,00;R$ 1.110,00
4;30;R$ 3,00;R$ 90,00
5;5;R$ 17,00;R$ 85,00
6;2;R$ 18,00;R$ 36,00
7;15;R$ 12,00;R$ 180,00
8;7;R$ 6,00;R$ 42,00
9;7;R$ 6,00;R$ 42,00
10;1;R$ 12,00;R$ 12,00
11;1;R$ 27,00;R$ 27,00
12;7;R$ 26,00;R$ 182,00
13;7;R$ 3,00;R$ 21,00
14;21;R$ 30,00;R$ 630,00
15;3;R$ 440,00;R$ 1.320,00
16;2;R$ 898,00;R$ 1.796,00
17;22;R$ 22,00;R$ 484,00
18;14;R$ 22,00;R$ 308,00
19;14;R$ 22,00;R$ 308,00
20;3;R$ 42,00;R$ 126,00
21;3;R$ 150,00;R$ 450,00
22;5;R$ 25,00;R$ 125,00
23;1;R$ 189,00;R$ 189,00
24;1;R$ 95,00;R$ 95,00
25;10;R$ 12,00;R$ 120,00
26;1;R$ 100,00;R$ 100,00
27;1;R$ 230,00;R$ 230,00
28;1;R$ 35,00;R$ 35,00
29;1;R$ 4,00;R$ 4,00
TOTAL;;;R$ 11.897,00
M. OBRA;;;R$ 7.350,00
CERTIFI;24;PONTOS;R$ 1.500,00
;;;
VALOR;FINAL;;R$ 20.747,00
