QTD;UNID;DESCRIÄ«O;VALOR UNIT;VALOR TOTAL
;;;;
1;PC;RACK ATTIC 44us X 1000mm;R$ 1.800,00;R$ 1.800,00
1;PC;SWITCH GERENCIµVEL INTELBRAS 28 PORTAS SG 2404;R$ 2.500,00;R$ 2.500,00
1;PC;PACTH PANEL FURUKAWA GIGALAN 24 PORTAS;R$ 1.200,00;R$ 1.200,00
4;PC;GUIAS CABO 1U;R$ 35,00;R$ 140,00
20;PC;PACTH CORD FURUKAWA 2,5 MTS VERDE;R$ 22,00;R$ 440,00
20;PC;PACTH CORD FURUKAWA 2,5 MTS VERMELHO;R$ 22,00;R$ 440,00
2;CX;CABO DE REDE CAT 6 FURUKAWA GIGALAN VERMELHO ;R$ 898,00;R$ 1.796,00
10;PC;ESPELHO 4X2 GENêRICO COM SUPORTE PARA 2X RJ45 ;R$ 15,00;R$ 150,00
1;PC;ESPELHO 4X4 AÄO GENERICO COM SUPORTE PARA 2X RJ45 PISO;R$ 30,00;R$ 30,00
20;PC;CONECTOR FEMEA KEYSTONE RJ 45 CAT6 FURUKAWA GIGALAN;R$ 25,00;R$ 500,00
;;;;
;;VALOR TOTAL DOS MATERIAIS;;R$ 8.996,00
